sequence_id,5fold_seed1,5fold_seed2,5fold_seed3,5fold_seed4,5fold_seed5,5fold_seed6,5fold_seed7,5fold_seed8,5fold_seed9,5fold_seed10,5fold_seed2025
SEQ_000007,0,1,4,4,4,0,4,4,3,0,3
SEQ_000008,1,4,4,4,3,4,3,3,4,3,4
SEQ_000013,4,1,1,3,4,3,0,0,0,4,0
SEQ_000016,4,0,0,4,4,4,4,3,4,0,1
SEQ_000018,3,0,0,4,0,4,0,0,0,0,1
SEQ_000022,4,2,4,1,1,2,1,1,2,1,2
SEQ_000033,1,4,4,1,2,1,2,3,3,2,3
SEQ_000034,3,4,3,3,3,4,3,3,3,4,3
SEQ_000046,4,0,0,3,4,4,3,3,4,0,1
SEQ_000053,1,4,4,4,3,4,3,3,4,3,4
SEQ_000058,2,2,2,2,2,2,2,2,2,2,2
SEQ_000063,4,4,4,4,3,4,3,3,4,3,4
SEQ_000079,0,2,2,4,0,4,1,1,1,0,1
SEQ_000091,4,1,1,0,1,0,0,1,1,1,2
SEQ_000092,4,0,0,3,2,4,3,3,4,3,0
SEQ_000111,2,2,2,2,2,2,2,2,2,2,2
SEQ_000113,0,0,0,0,4,0,4,4,0,4,0
SEQ_000114,1,4,4,1,2,1,2,3,3,2,3
SEQ_000142,0,2,2,1,2,1,1,2,2,2,3
SEQ_000150,4,1,1,3,4,3,0,0,0,4,0
SEQ_000166,0,1,0,0,0,1,0,0,0,0,0
SEQ_000169,3,0,0,4,4,4,4,4,0,3,4
SEQ_000174,3,1,3,3,4,3,3,3,0,4,0
SEQ_000182,0,3,2,2,2,3,2,2,3,2,3
SEQ_000210,2,4,4,3,4,4,4,4,4,4,0
SEQ_000220,0,3,1,0,0,0,0,0,1,1,2
SEQ_000237,0,1,1,0,0,0,0,4,0,1,2
SEQ_000239,1,2,2,0,1,1,0,0,1,2,3
SEQ_000240,2,3,3,0,1,0,4,2,2,1,2
SEQ_000245,1,4,4,4,3,4,3,3,4,3,4
SEQ_000250,1,4,2,1,1,1,1,2,2,2,3
SEQ_000255,4,0,0,0,4,0,4,4,0,4,0
SEQ_000259,2,3,3,2,2,2,2,1,2,3,4
SEQ_000266,0,2,2,1,2,3,2,2,2,2,3
SEQ_000281,2,3,4,1,2,2,1,1,2,3,4
SEQ_000284,1,1,1,1,1,1,1,1,1,1,1
SEQ_000297,4,0,0,3,4,4,3,3,4,0,1
SEQ_000313,1,4,4,4,3,4,3,3,4,3,4
SEQ_000320,2,4,4,3,4,3,3,4,4,3,0
SEQ_000322,2,2,2,2,1,2,1,1,2,1,2
SEQ_000323,2,0,2,2,3,2,3,4,4,3,4
SEQ_000326,4,2,2,2,1,2,1,1,2,1,2
SEQ_000331,1,2,1,1,1,2,1,1,1,2,1
SEQ_000335,1,2,1,1,1,2,1,1,1,2,1
SEQ_000354,4,2,4,1,1,2,1,1,2,1,2
SEQ_000360,1,2,2,0,1,1,0,0,1,2,3
SEQ_000365,4,4,4,4,3,4,3,3,4,3,4
SEQ_000366,0,2,2,1,2,3,2,2,2,2,3
SEQ_000367,0,1,0,0,0,1,0,0,0,0,0
SEQ_000371,2,3,3,2,2,2,2,1,2,3,4
SEQ_000386,1,3,3,2,3,2,2,3,3,2,4
SEQ_000389,3,3,3,3,2,3,3,2,3,2,3
SEQ_000412,3,1,0,3,4,3,4,0,0,4,0
SEQ_000416,3,0,0,3,3,4,4,4,4,3,4
SEQ_000417,3,0,0,3,3,4,4,4,4,3,4
SEQ_000419,1,3,3,1,1,3,2,2,2,1,2
SEQ_000430,2,4,4,3,4,4,4,4,4,4,0
SEQ_000436,4,4,4,4,3,4,3,3,4,3,4
SEQ_000449,2,4,3,2,2,2,2,1,3,3,4
SEQ_000458,2,0,0,0,4,0,4,4,0,4,0
SEQ_000461,0,1,1,4,0,0,4,4,0,1,2
SEQ_000464,0,0,0,0,4,0,4,4,0,4,0
SEQ_000475,0,3,2,0,1,0,0,4,2,1,2
SEQ_000492,1,3,3,1,1,3,2,2,2,1,2
SEQ_000502,3,0,0,4,0,4,4,0,0,4,1
SEQ_000504,1,1,1,1,0,1,1,3,1,0,1
SEQ_000508,1,3,1,1,1,0,1,1,1,1,1
SEQ_000510,3,4,3,3,3,4,3,3,3,4,3
SEQ_000517,3,4,4,4,3,3,2,2,3,4,0
SEQ_000525,0,1,0,0,0,1,0,0,0,0,0
SEQ_000527,3,4,3,3,3,4,3,3,3,4,3
SEQ_000536,4,2,0,4,4,4,4,4,4,0,1
SEQ_000541,3,4,4,4,3,4,3,3,4,3,4
SEQ_000544,3,0,0,4,0,4,4,0,0,4,1
SEQ_000546,4,1,1,0,1,0,0,0,1,0,2
SEQ_000548,2,3,3,2,2,2,2,1,2,3,4
SEQ_000571,1,3,3,1,1,3,2,2,2,1,2
SEQ_000586,4,1,1,0,1,0,0,0,1,0,2
SEQ_000589,1,4,3,2,3,4,3,3,4,3,4
SEQ_000602,0,1,1,1,0,1,0,0,1,0,1
SEQ_000603,1,2,2,0,1,1,0,0,1,2,3
SEQ_000615,1,3,3,2,3,2,2,3,3,2,4
SEQ_000617,0,2,2,1,2,1,1,2,2,2,3
SEQ_000626,4,0,0,3,4,4,3,3,4,0,1
SEQ_000641,1,2,2,0,1,1,0,0,1,2,3
SEQ_000682,2,4,3,2,2,2,2,1,3,3,4
SEQ_000693,2,4,4,3,4,4,4,4,4,4,0
SEQ_000714,0,3,1,0,0,0,0,0,1,1,2
SEQ_000733,1,3,1,1,1,0,1,1,1,1,1
SEQ_000736,0,2,2,1,2,1,1,1,2,1,3
SEQ_000737,4,1,1,0,1,2,1,1,1,1,2
SEQ_000749,0,0,0,0,4,0,0,0,0,4,0
SEQ_000752,4,0,0,0,4,0,4,4,0,4,0
SEQ_000765,4,0,0,4,4,4,4,3,4,0,1
SEQ_000766,1,2,1,1,1,2,1,1,1,2,1
SEQ_000772,4,0,0,0,4,0,4,4,0,4,0
SEQ_000778,1,3,3,2,3,2,2,3,3,2,4
SEQ_000780,1,4,3,1,2,1,1,4,3,2,3
SEQ_000783,0,2,2,1,2,1,1,2,2,2,3
SEQ_000789,3,0,0,4,4,4,4,4,0,3,4
SEQ_000792,1,1,1,1,0,1,1,3,1,0,1
SEQ_000793,0,1,0,0,0,1,0,0,0,0,0
SEQ_000798,2,0,2,2,3,2,3,4,4,3,4
SEQ_000805,2,2,2,2,1,2,2,1,2,1,2
SEQ_000807,4,0,0,3,4,4,3,3,4,0,1
SEQ_000810,3,4,4,4,3,3,2,2,3,4,0
SEQ_000821,4,1,1,0,1,0,0,1,1,1,2
SEQ_000824,3,1,0,3,4,3,4,0,0,4,0
SEQ_000835,4,2,2,2,1,2,1,1,2,1,2
SEQ_000838,3,4,4,4,3,3,2,2,3,4,0
